Номер проекта,L,Me,Ef
1, 2.2, 8.95, 8.4
2, 3.5, 4.69, 10.8
3, 5.5, 6.75, 18
4, 6, 27.63, 24
5, 9.7, 13.49, 25.2
6, 7.7, 7.54, 31.2
7, 3.7, 12.45, 36
8, 8.2, 14.23, 36
9, 6.5, 11.64, 42
10, 8, 15.47, 42
11, 20, 16.32, 48
12, 10, 19.84, 48
13, 15, 23.11, 48
14, 10.4, 17.02, 50
15, 13, 5.31, 60
16, 14, 17.54, 60
17, 19.7, 4.21, 60
18, 32.5, 56.47, 60
19, 31.5, 5.46, 60
20, 12.5, 10.84, 62
21, 15.4, 12.76, 70
22, 20, 33.82, 72
23, 7.5, 24.15, 72
24, 16.3, 17.37, 82
25, 15, 21.51, 90
26, 11.4, 19.07, 98.8
27, 21, 16.53, 107
28, 16, 16.53, 114
29, 25.9, 11.57, 117.6
30, 24.6, 16.34, 117.6
31, 29.5, 7.13, 120
32, 19.3, 21.06, 155
33, 32.6, 15.19, 170
34, 35.5, 8.37, 192
35, 38, 19.50, 210
36, 48.5, 12.07, 239
37, 47.5, 18.64, 252
38, 70, 11.46, 278
39, 66.6, 16.79, 300
40, 66.6, 11.20, 352.8
41, 50, 13.48, 370
42, 79, 22.97, 400
43, 90, 31.73, 450
44, 78, 8.03, 571.4
45, 100, 61.42, 215
46, 150, 13.09, 324
47, 100, 25.07, 360
48, 100, 8.62, 360
49, 190, 3.84, 420
50, 115.8, 5.32, 480
51, 101, 6.46, 750
52, 161.1, 8.41, 815
53, 284.7, 17.09, 973
54, 227, 6.31, 1181
55, 177.9, 5.08, 1228
56, 282.1, 11.36, 1368
57, 219, 15.81, 2120
58, 423, 7.44, 2300
59, 302, 5.64, 2400
60, 370, 3.21, 3240 
